name,ID
FIS-OTHER-SUBNETS,193141
SMM-All Subnets,193870
DEL AHSEntP_504 (VLAN 504),196662
DEL AHSMwmD (VLAN 520),196663
DEL AHSSEntP (VLAN 508),196664
DEL AHSSPKDeV (VLAN 907),196665
SMM-WRD-MECH2VLAN722-DAT,197822
SMM-WRD-2EASTVLAN714-DAT,197823
SMM-WRD-2EASTVLAN214-VOI,197824
SMM-WRD-2OBVLAN707-DAT,197825
SMM-WRD-2OBVLAN207-VOI,197826
SMM-WRL-AeroscoutVLAN514-DAT,197827
SMM-WRD-AHVLAN755-DAT,197828
SMM-WRD-AHVLAN255-VOI,197829
SMM-WRL-AHSMwmDVLAN520-DAT,197830
SMM-WRL-AHSSEntPVLAN501-DAT,197831
SMM-WRL-AHSSEntPVLAN504-DAT,197832
SMM-WRL-AHSSEntPVLAN515-DAT,197833
SMM-WRL-AHSSPKDevVLAN519-DAT,197834
SMM-WRL-AHSVoiceCVLAN518-VOI,197835
SMM-WRL-AHSVoiceWVLAN511-VOI,197836
SMM-WRL-AHSVoiceWVLAN512-VOI,197837
SMM-WRD-AnesVLAN142-DAT,197838
SMM-WRD-ASIVLAN141-DAT,197839
SMM-WRD-AskVLAN181-DAT,197840
SMM-WRD-B101VLAN730-DAT,197841
SMM-WRD-B101VLAN230-VOI,197842
SMM-WRD-B201VLAN732-DAT,197843
SMM-WRD-B201VLAN232-VOI,197844
SMM-WRD-B400VLAN734-DAT,197845
SMM-WRD-B400VLAN234-VOI,197846
SMM-WRD-B500VLAN735-DAT,197847
SMM-WRD-B500VLAN235-VOI,197848
SMM-WRD-B700VLAN736-DAT,197849
SMM-WRD-B700VLAN236-VOI,197850
SMM-WRD-B800VLAN737-DAT,197851
SMM-WRD-B800VLAN237-VOI,197852
SMM-FWN-BACVLAN923-DAT,197853
SMM-WRD-BeckmanVLAN914-DAT,197854
SMM-WRD-BiomerieuxVLAN918-BIO,197855
SMM-WRD-BMDIVLAN126-BIO,197856
SMM-WRD-CashVLAN145-PCI,197857
SMM-FWN-CernerVLAN968-DAT,197858
SMM-WRD-CrestronVLAN203-VID,197859
SMM-WRD-ElectricalVLAN195-DAT,197860
SMM-FWN-EpicureVLAN924-DIG,197861
SMM-WRD-EW1NVLAN218-DAT,197862
SMM-WRD-EW1NVLAN718-DAT,197863
SMM-WRD-FACVLAN708-DAT,197864
SMM-WRD-FACVLAN208-VOI,197865
SMM-FWN-GEVLAN921-BIO,197866
SMM-WRD-GTMBVLAN757-DAT,197867
SMM-WRD-GTMBVLAN257-VOI,197868
SMM-FWN-IntuitiveVLAN913-BIO,197869
SMM-FWN-JCICVLAN916-BIO,197870
SMM-WRD-LABVLAN715-DAT,197871
SMM-FWN-LabVLAN911-BIO,197872
SMM-WRD-LabVLAN215-VOI,197873
SMM-WRD-LANJCICPRI-DAT,197874
SMM-WRD-LDBVLAN751-DAT,197875
SMM-WRD-LDBVLAN251-VOI,197876
SMM-FWN-LegacySRVVLAN975-DAT,197877
SMM-FWN-LegacyWkstnVLAN974-DAT,197878
SMM-WRD-LIBVLAN720-DAT,197879
SMM-WRD-LIBVLAN220-VOI,197880
SMM-WRD-LOCALVPN-DAT,197881
SMM-WRL-LWAPPMGTVLAN515-DAT,197882
SMM-WRD-MECH2VLAN222-VOI,197883
SMM-WRD-ModalitiesVLAN135-DAT,197884
SMM-FWN-MultiVendorVLAN919-DAT,197885
SMM-WRD-NtwkMgmtVLAN10-DAT,197886
SMM-WRD-OCRVLAN717-DAT,197887
SMM-WRD-OCRVLAN217-VOI,197888
SMM-WRD-OSCCNVLAN704-DAT,197889
SMM-WRD-OSCCNVLAN798-MGNT,197890
SMM-WRD-OSCCNMgmtVLAN10-DAT,197891
SMM-WRD-OSCCNVLAN204-VOI,197892
SMM-WRL-OSCCNVLAN515-DAT,197893
SMM-WRD-OSCCQVLAN704-DAT,197894
SMM-WRD-OSCCQVLAN798-MGNT,197895
SMM-WRD-OSCCQMgmtVLAN10-DAT,197896
SMM-WRD-OSCCQPACSVLAN100-BIO,197897
SMM-WRD-OSCCQVLAN204-VOI,197898
SMM-WRL-OSCCQVLAN515-DAT,197899
SMM-WRD-OSCCSVLAN704-DAT,197900
SMM-WRD-OSCCSVLAN798-MGNT,197901
SMM-WRD-OSCCSMgmtVLAN10-DAT,197902
SMM-WRD-OSCCSVLAN204-VOI,197903
SMM-WRL-OSCCSVLAN515-DAT,197904
SMM-WRD-OSDPCVLAN704-DAT,197905
SMM-WRD-OSDPCVLAN798-MGNT,197906
SMM-WRD-OSDPCMgmtVLAN10-DAT,197907
SMM-WRD-OSDPCVLAN204-VOI,197908
SMM-WRL-OSDPCVLAN515-DAT,197909
SMM-WRD-OSDSPVLAN704-DAT,197910
SMM-WRD-OSDSPVLAN798-MGNT,197911
SMM-WRD-OSDSPMgmtVLAN10-DAT,197912
SMM-WRD-OSDSPVLAN204-VOI,197913
SMM-WRL-OSDSPVLAN515-DAT,197914
SMM-WRD-OSHLVVLAN704-DAT,197915
SMM-WRD-OSHLVVLAN798-MGNT,197916
SMM-WRD-OSHLVMgmtVLAN10-DAT,197917
SMM-FWN-OSHLVPACSVLAN958-BIO,197918
SMM-WRD-OSHLVVLAN204-VOI,197919
SMM-WRL-OSHLVVLAN515-DAT,197920
SMM-WRD-OSLFPVLAN704-DAT,197921
SMM-WRD-OSLFPMgmtVLAN10-DAT,197922
SMM-WRD-OSLFPVLAN798-MGNT,197923
SMM-WRD-OSLFPVLAN204-VOI,197924
SMM-WRL-OSLFPVLAN515-DAT,197925
SMM-WRD-OSLPCVLAN704-DAT,197926
SMM-WRD-OSLPCMgmtVLAN10-DAT,197927
SMM-WRD-OSLPCVLAN798-MGNT,197928
SMM-WRD-OSLPCVLAN204-VOI,197929
SMM-WRL-OSLPCVLAN515-DAT,197930
SMM-WRD-OSPTLVLAN704-DAT,197931
SMM-WRD-OSPTLVLAN798-MGNT,197932
SMM-WRD-OSPTLMgmtVLAN10-DAT,197933
SMM-WRD-OSPTLVLAN204-VOI,197934
SMM-WRL-OSPTLVLAN515-VOI,197935
SMM-WRD-OSPTOVLAN704-DAT,197936
SMM-WRD-OSPTOVLAN798-MGNT,197937
SMM-WRD-OSPTOMgmtVLAN10-DAT,197938
SMM-WRD-OSPTOVLAN204-VOI,197939
SMM-WRL-OSPTOVLAN515-DAT,197940
SMM-WRD-OSPTSVLAN704-DAT,197941
SMM-WRD-OSPTSVLAN798-MGNT,197942
SMM-WRD-OSPTSMgmtVLAN10-DAT,197943
SMM-WRL-OSPTSVLAN515-DAT,197944
SMM-WRD-OSPTWVLAN204-DAT,197945
SMM-WRD-OSPTWVLAN704-DAT,197946
SMM-WRD-OSPTWVLAN798-MGNT,197947
SMM-WRD-OSPTWMgmtVLAN10-DAT,197948
SMM-WRL-OSPTWVLAN515-DAT,197949
SMM-WRD-OSPVCVLAN704-DAT,197950
SMM-WRD-OSPVCVLAN798-MGNT,197951
SMM-WRD-OSPVCMgmtVLAN10-DAT,197952
SMM-WRD-OSPVCVLAN204-VOI,197953
SMM-WRL-OSPVCVLAN515-DAT,197954
SMM-WRD-OSRMHVLAN704-DAT,197955
SMM-WRD-OSRMHVLAN798-MGNT,197956
SMM-WRD-OSRMHMgmtVLAN10-DAT,197957
SMM-WRD-OSRMHVLAN204-VOI,197958
SMM-WRL-OSRMHVLAN515-DAT,197959
SMM-WRL-OSWSCVLAN518-VOI,197960
SMM-WRD-OSWSCVLAN704-DAT,197961
SMM-WRD-OSWSCMgmtVLAN10-DAT,197962
SMM-WRD-OSWSCVLAN798-MGNT,197963
SMM-WRD-OSWSCVLAN204-VOI,197964
SMM-WRL-OSWSCVLAN515-DAT,197965
SMM-WRD-OTPTSVLAN204-VOI,197966
SMM-WRD-OVVLAN752-DAT,197967
SMM-WRD-OVVLAN252-VOI,197968
SMM-WRD-P2PCCNATT-DAT,197969
SMM-WRD-P2PCCNCCI-Rsrvd-DAT,197970
SMM-WRD-P2PCCQATT-DAT,197971
SMM-WRD-P2PCCQCCI-DAT,197972
SMM-WRD-P2PCCSATT2-DAT,197973
SMM-WRD-P2PDPCATT-DAT,197974
SMM-WRD-P2PDPCCCI-DAT,197975
SMM-WRD-P2PDSPATT-DAT,197976
SMM-WRD-P2PDSPCCI-DAT,197977
SMM-WRD-P2PHLVATTRsvd-DAT,197978
SMM-WRD-P2PHLVCCI-DAT,197979
SMM-WRD-P2PJCICPRI-DAT,197980
SMM-WRD-P2PJCIC-DAT,197981
SMM-WRD-P2PLFPATT-DAT,197982
SMM-WRD-P2PLFPCCI-DAT,197983
SMM-WRD-P2PLPCATT-DAT,197984
SMM-WRD-P2PLPCCCI-DAT,197985
SMM-WRD-P2PPTLATT-DAT,197986
SMM-WRD-P2PPTOATT-DAT,197987
SMM-WRD-P2PPTSATT-DAT,197988
SMM-WRD-P2PPTWATT-DAT,197989
SMM-WRD-P2PPVCCCIRsvd-DAT,197990
SMM-WRD-P2PRMHATT-DAT,197991
SMM-WRD-P2PRMHCCIRsvd-DAT,197992
SMM-WRD-P2PWSCATT-DAT,197993
SMM-WRD-P2PWSCCCI-DAT,197994
SMM-WRD-PACSVLAN101-BIO,197995
SMM-WRD-PACSVLAN170-BIO,197996
SMM-FWN-PACSVLAN958-BIO,197997
SMM-WRD-PACSVLAN100-BIO,197998
SMM-WRD-PACSWkstnVLAN171-BIO,197999
SMM-FWN-ParlanceVLAN925-DAT,198000
SMM-FWN-PCIVLAN917-PCI,198001
SMM-FWN-PCIVLAN400-DAT,198002
SMM-FWN-Ph75u99tVLAN906-DAT,198003
SMM-FWN-PhillipsBDMIVLAN910-BIO,198004
SMM-FWN-PhysicianVLAN962-PHY,198005
SMM-WRD-PTRVLAN799-DAT,198006
SMM-FWN-ProhealthVLAN922-DAT,198007
SMM-WRD-PSPPVCATT-DAT,198008
SMM-WRD-PSPPVCCCIRsvd-DAT,198009
SMM-WRD-PT1NVLAN713-DAT,198010
SMM-WRD-PT1NVLAN213-VOI,198011
SMM-WRD-PT1SVLAN724-DAT,198012
SMM-WRD-PT1SVLAN224-VOI,198013
SMM-WRD-PT2VLAN711-DAT,198014
SMM-WRD-PT2VLAN211-VOI,198015
SMM-WRD-PT3VLAN712-DAT,198016
SMM-WRD-PT3VLAN212-VOI,198017
SMM-WRD-PT4VLAN704-DAT,198018
SMM-WRD-PT4VLAN204-VOI,198019
SMM-WRD-PT5VLAN705-DAT,198020
SMM-WRD-PT5VLAN205-VOI,198021
SMM-WRD-PT6VLAN706-DAT,198022
SMM-WRD-PT6VLAN206-VOI,198023
SMM-WRD-PVVLAN753-DAT,198024
SMM-WRD-PVVLAN253-VOI,198025
SMM-WRD-PyxisVLAN120-DAT,198026
SMM-FWN-PyxisVLAN959-DAT,198027
SMM-WRD-RALSIStatVLAN140-DAT,198028
SMM-WRD-SBLDVLAN750-DAT,198029
SMM-WRD-SBLDVLAN250-VOI,198030
SMM-WRD-SECMANLANPRI-DAT,198031
SMM-WRD-SECMANLANSEC-DAT,198032
SMM-WRD-ServersVLAN600-DAT,198033
SMM-WRD-ServersVLAN601-DAT,198034
SMM-WRD-SFVLAN758-DAT,198035
SMM-WRD-SFVLAN258-VOI,198036
SMM-FWN-SkylightVLAN912-DAT,198037
SMM-WRD-SleepVLAN124-DAT,198038
SMM-WRD-SMMBVLAN754-DAT,198039
SMM-WRD-SMMBVLAN254-VOI,198040
SMM-WRD-SquareDVLAN196-DAT,198041
SMM-WRD-StaticVLAN798-MGMT,198042
SMM-WRD-StaticWkstnVLAN797-DAT,198043
SMM-FWN-TeleVLAN967-DAT,198044
SMM-FWN-VarianVLAN920-DAT,198045
SMM-WRD-VMWareMgmtVLAN621-DAT,198046
SMM-WRD-VMWarevMotionVLAN622-DAT,198047
SMM-WRD-VoiceELANVLAN202-VOI,198048
SMM-WRD-VoiceTLANVLAN201-VOI,198049
SMM-WRD-WANLANMPLS1PRI-DAT,198050
SMM-WRD-WANLANMPLS1SEC-DAT,198051
SMM-WRD-WANLANMPLS2PRI-DAT,198052
SMM-WRD-WANLANMPLS2SEC-DAT,198053
SMM-WRD-WANVLAN21-DAT,198054
SMM-WRD-WANVLAN22-DAT,198055
SMM-WRD-WatchChildVLAN130-DAT,198056
SMM-WRD-WC1VLAN738-DAT,198057
SMM-WRD-WC1VLAN238-VOI,198058
SMM-WRD-WC2VLAN739-DAT,198059
SMM-WRD-WC2VLAN239-VOI,198060
SMM-WRD-WC3VLAN740-DAT,198061
SMM-WRD-WC3VLAN741-DAT,198062
SMM-WRD-WC3VLAN240-VOI,198063
SMM-WRD-WC4VLAN241-VOI,198064
SMM-WRD-WLHVLAN756-DAT,198065
SMM-WRD-WLHVLAN256-VOI,198066
SMM-WRD-WW1VLAN716-DAT,198067
SMM-WRD-WW1VLAN216-VOI,198068
SMM-WRD-WW2VLAN721-DAT,198069
SMM-WRD-WW2VLAN221-VOI,198070
SMM-WRD-WWGAANVLAN18-DAT,198071
SMM-WRD-WWGVLAN710-DAT,198072
SMM-WRD-WWGVLAN210-VOI,198073
SMM-GRP-FWN-Vendor Managed,198954
SMM-GRP-BioMed Subnets,199581
SMM-GRP-Voice Subnets,199582
SMM-GRP-Server Subnets,199583
SMM-GRP-Management Subnets,199679
FIS-GRP-Production Subnet,199680
FIS-GRP-BioMed Subnets,199681
FIS-GRP-Voice Subnets,199684
ACC Keller - Wired - VLAN704,201869
ACC Keller Net Mgmt - VLAN10,201870
ACC Keller - Wireless - VLAN505,201871
ACC Keller - Servers - VLAN600,201872
ACC Keller - Monitoring - VLAN140,201873
ACC Keller - Printer - VLAN799,201874
ACC Keller - VMWare Mgmt - VLAN621,201875
ACC Keller - VMWare vMotion - VLAN622,201876
ACC Keller - VMWare Storage - VLAN660,201877
ACC Keller - Video - VLAN951,201878
ACC East Orlando - Wired - VLAN704,201879
ACC East Orlando - Voice - VLAN204,201880
ACC East Orlando - Net Mgmt - VLAN10,201881
ACC East Orlando - Wireless - VLAN 505,201882
ACC East Orlando - Servers - VLAN600,201883
ACC East Orlando - Printers - VLAN799,201884
ACC East Orlando - VMWare Mgmt - VLAN621,201885
ACC East Orlando - VMWare vMotion - VLAN622,201886
ACC East Orlando - VMWare Storage - VLAN660,201887
ACC East Orlando - Video - VLAN951,201888
ACC FLV - Wired - VLAN704,201889
ACC FLV - Voice -  VLAN204,201890
ACC FLV - Net Mgmt - VLAN10,201891
ACC FLV - Wireless - VLAN 505,201892
ACC FLV - Printers - VLAN 799,201893
ACC FLV - VMWare Mgmt - VLAN621,201894
ACC FLV - VMWare vMotion VLAN622,201895
ACC FLV - VMWare Storage - VLAN660,201896
ACC FLV - Video - VLAN951,201897
ACC Overland - Wired - VLAN 704,201898
ACC Overland - Voice - VLAN204,201899
ACC Overland - Net Mgmt - VLAN10,201900
ACC Overland - Wireless - VLAN 505,201901
ACC Overland - Servers - VLAN600,201902
ACC Overland - Printers - VLAN 799,201903
ACC Overland - VMWare Mgmt - VLAN621,201904
ACC Overland - VMWare vMotion - VLAN622,201905
ACC Overland - VMWare Storage - VLAN660,201906
